Constituency Name,Winning Candidate,Runner up Candidate,Party ,Alliance, EVM Votes,Postal Votes,Total Votes,Margin
INDORE,SHANKAR LALWANI,NOTA, BJP,NDA,1558311,3657,1561968,1175092
DHUBRI,RAKIBUL HUSSAIN,MOHAMMED BADRUDDIN AJMAL, INC,I.N.D.I.A.,2445683,7925,2453608,1012476
VIDISHA,SHIVRAJ SINGH CHOUHAN,PRATAPBHANU SHARMA, BJP,NDA,1449038,6620,1455658,821408
NAVSARI,C R PATIL,NAISHADHBHAI BHUPATBHAI  DESAI, BJP,NDA,1326543,11673,1338216,773551
GANDHINAGAR,AMIT SHAH,SONAL RAMANBHAI PATEL, BJP,NDA,1304840,16962,1321802,744716
DIAMONDHARBOUR,ABHISHEK BANERJEE,ABHIJIT DAS (BOBBY), AITC,I.N.D.I.A.,1524223,6594,1530817,710930
TRIPURAWEST,BIPLAB KUMAR DEB,ASISH KUMAR SAHA, BJP,NDA,1192487,17322,1209809,611578
VADODARA,DR. HEMANG JOSHI,PADHIYAR  JASHPALSINH MAHENDRASINH (BAPU), BJP,NDA,1200380,11769,1212149,582126
RAIPUR,BRIJMOHAN AGRAWAL,VIKAS UPADHYAY, BJP,NDA,1582240,4515,1586755,575285
TIRUVALLUR,Sasikanth Senthil,"Balaganapathy, V. Pon", INC,I.N.D.I.A.,1413947,3865,1417812,572155
NALGONDA,KUNDURU RAGHUVEER,SAIDI REDDY SHANAMPUDI, INC,I.N.D.I.A.,1277136,19188,1296324,559905
GAUTAMBUDDHANAGAR,DR. MAHESH SHARMA,DR. MAHENDRA SINGH NAGAR, BJP,NDA,1433370,3874,1437244,559472
KHAJURAHO,VISHNU DATT SHARMA (V.D.SHARMA),KAMLESH KUMAR, BJP,NDA,1138109,2461,1140570,541229
GUNA,JYOTIRADITYA M. SCINDIA,YADVENDRA RAO DESHRAJ SINGH, BJP,NDA,1368520,5246,1373766,540929
PANCHMAHAL,RAJPALSINH MAHENDRASINH JADAV,GULABSINH SOMSINH CHAUHAN, BJP,NDA,1116210,15287,1131497,509342
VISAKHAPATNAM,SRIBHARAT MATHUKUMILI,JHANSI LAKSHMI. BOTCHA., TDP,NDA,1366795,20330,1387125,504247
BHOPAL,ALOK SHARMA,ADVOCATE ARUN SHRIVASTAVA, BJP,NDA,1494415,3870,1498285,501499
MANDSOUR,SUDHEER GUPTA,DILIP SINGH GURJAR, BJP,NDA,1428345,5147,1433492,500655
SRIPERUMBUDUR,T R BAALU,G PREMKUMAR, DMK,I.N.D.I.A.,1435381,5554,1440935,487029
TRIPURAEAST,KRITI DEVI DEBBARMAN,RAJENDRA REANG, BJP,NDA,1121664,12681,1134345,486819
JABALPUR,ASHISH DUBEY,DINESH YADAV, BJP,NDA,1156434,2111,1158545,486674
RAJKOT,PARSHOTTAMBHAI RUPALA,DHANANI PARESH, BJP,NDA,1260778,12764,1273542,484260
SAGAR,DR. LATA WANKHEDE,CHANDRA BHUSAN SINGH BUNDELA 'GUDDU RAJA', BJP,NDA,1147932,2617,1150549,471222
JOYNAGAR,PRATIMA MONDAL,ASHOK KANDARY, AITC,I.N.D.I.A.,1477368,5263,1482631,470219
